filename,title,authors,series,url,Category
9780063067011.jpg,"Hello, Biscuit. Hello, Friends.","Alyssa Satin Capucilli, Pat Schories",Biscuit,https://harpercollins.com/products/hello-biscuit-hello-friends-alyssa-satin-capucilli,Board Books
9780063067011_8ffaa245-82e1-400e-bbca-00c9dfcb7276.jpg,"Hello, Biscuit! Hello, Friends! Tabbed Board Book","Alyssa Satin Capucilli, Pat Schories",Biscuit,https://harpercollins.com/products/hello-biscuit-hello-friends-tabbed-board-book-alyssa-satin-capucilli,Beginning Readers
9780358521204_cdd50f38-2bd9-4cd5-b9a1-05a114661a4d.jpg,"Snail and Worm, of Course",Tina Kügler,,https://harpercollins.com/products/snail-and-worm-of-course-tina-kugler,Beginning Readers
9780061928895_dc242d9f-8a4e-4a48-89be-02e29589570d.jpg,Pinkalicious: The Pinkatastic Giant Sticker Book,Victoria Kann,Pinkalicious,https://harpercollins.com/products/pinkalicious-the-pinkatastic-giant-sticker-book-victoria-kann,Beginning Readers
9780062432070_15c4138c-dd44-47ba-baad-39b73e410384.jpg,Ranger Rick: I Wish I Was an Orca,Sandra Markle,Ranger Rick,https://harpercollins.com/products/ranger-rick-i-wish-i-was-an-orca-sandra-markle,Beginning Readers
9780064442725_550f4798-4e29-4780-a8a2-94da495a652b.jpg,Oliver,Syd Hoff,,https://harpercollins.com/products/oliver-syd-hoff,Beginning Readers
9780063272453_3676016d-fbe7-4a40-928d-7be52315c619.jpg,Pinkfong: Everybody Dances!,Pinkfong,Pinkfong,https://harpercollins.com/products/pinkfong-everybody-dances,Beginning Readers
9780063272453_f09d1d8f-d65e-47eb-a6e8-bfa745e5522e.jpg,Pinkfong ICR #2,Pinkfong,,https://harpercollins.com/products/pinkfong-icr-2,Beginning Readers
9780062947796_3ef098db-7de3-46aa-ab92-46bf64c761ee.jpg,13th Street #1: Battle of the Bad-Breath Bats,"David Bowles, Shane Clester",13th Street #1,https://harpercollins.com/products/13th-street-1-battle-of-the-bad-breath-bats-david-bowles,Beginning Readers
9780395729526.jpg,Martha Speaks,Susan Meddaugh,,https://harpercollins.com/products/martha-speaks-susan-meddaugh,Beginning Readers
9780060532321.jpg,I Am the Turkey,"Michele Sobel Spirn, Joy Allen",,https://harpercollins.com/products/i-am-the-turkey-michele-sobel-spirn,Beginning Readers
9780061478192.jpg,Little Critter: Just a Teacher's Pet,Mercer Mayer,Little Critter,https://harpercollins.com/products/little-critter-just-a-teachers-pet-mercer-mayer,Beginning Readers
9780063004498.jpg,Trouble at Table 5 #5: Trouble to the Max,"Tom Watson, Marta Kissi",Trouble at Table 5 #5,https://harpercollins.com/products/trouble-at-table-5-5-trouble-to-the-max-tom-watson,Beginning Readers
9780064441438_2fd37bab-1a33-4d0e-8754-17a779ae93bd.jpg,Morris and Boris at the Circus,B. Wiseman,,https://harpercollins.com/products/morris-and-boris-at-the-circus-b-wiseman,Beginning Readers
9780152016982_0d528c46-f264-4c3f-92f0-08c59dc934e9.jpg,The Tortilla Factory,"Gary Paulsen, Ruth Paulsen",,https://harpercollins.com/products/the-tortilla-factory-gary-paulsen,Beginning Readers
9780063255531.jpg,Mallory in Full Color,Elisa Stone Leahy,,https://harpercollins.com/products/mallory-in-full-color-elisa-stone-leahy,Middle Grade Readers
9780063256569_b3935ea0-52ea-4aec-9439-fa4d96219ee8.jpg,The Probability of Everything,Sarah Everett,,https://harpercollins.com/products/the-probability-of-everything-sarah-everett,Middle Grade Readers
9780063064577.jpg,We Still Belong,Christine Day,,https://harpercollins.com/products/we-still-belong-christine-day,Middle Grade Readers
9780063069640_071c58dc-a7b6-41d6-ab28-c19460391ec0.jpg,Clutch Time,"Caron Butler, Justin A. Reynolds",,https://harpercollins.com/products/clutch-time-caron-butlerjustin-a-reynolds,Middle Grade Readers
9780063134713_50cd3ca6-80ff-497c-b2be-be38420fc9d2.jpg,The Great Zoodini,PJ Gardner,,https://harpercollins.com/products/the-great-zoodini-pj-gardner,Middle Grade Readers
9780063285712_277edbe4-64ee-433d-ad9f-4f3671cde365.jpg,What Jewish Looks Like,"Liz Kleinrock, Iris Gottlieb, Caroline Kusin Pritchard",,https://harpercollins.com/products/what-jewish-looks-like-liz-kleinrockcaroline-kusin-pritchard,Middle Grade Readers
9780063326262.jpg,Splinter & Ash,Marieke Nijkamp,,https://harpercollins.com/products/splinter-ash-marieke-nijkamp,Middle Grade Readers
9780063324664_d41bdaa7-3028-44d4-8017-f4eca064fa59.jpg,Quagmire Tiarello Couldn't Be Better,Mylisa Larsen,,https://harpercollins.com/products/quagmire-tiarello-couldnt-be-better-mylisa-larsen,Middle Grade Readers
9780063253360.jpg,Happy Town,Greg van Eekhout,,https://harpercollins.com/products/happy-town-greg-van-eekhout,Middle Grade Readers
9780062967046.jpg,Bravelands: Thunder on the Plains #3: Realm of Lost Spirits,Erin Hunter,Bravelands,https://harpercollins.com/products/bravelands-thunder-on-the-plains-3-realm-of-lost-spirits-erin-hunter,Middle Grade Readers
9780063047518.jpg,Mirror to Mirror,Rajani LaRocca,,https://harpercollins.com/products/mirror-to-mirror-rajani-larocca,Middle Grade Readers
9780063314450_ed4fa9fb-c55b-4b1f-b87d-11b6f627a834.jpg,Unsinkable Cayenne,Jessica Vitalis,,https://harpercollins.com/products/unsinkable-cayenne-jessica-vitalis,Middle Grade Readers
9780063310292.jpg,No Place for Monsters: School of Phantoms,Kory Merritt,No Place for Monsters,https://harpercollins.com/products/no-place-for-monsters-school-of-phantoms-kory-merritt,Middle Grade Readers
9780063254848_72f49c0e-25e3-4ae5-ab91-48bd845e31ff.jpg,The Monstrous Adventures of Mummy Man and Waffles,"Steve Behling, Robb Mommaerts",,https://harpercollins.com/products/the-monstrous-adventures-of-mummy-man-and-waffles-steve-behling,Middle Grade Readers
9780062996923_9124d5e2-7b39-4a68-bbd8-a7ef9d3d2640.jpg,When Wishes Were Horses,Cynthia Voigt,,https://harpercollins.com/products/when-wishes-were-horses-cynthia-voigt,Middle Grade Readers
9780063142633.jpg,The Grace of Wild Things,Heather Fawcett,,https://harpercollins.com/products/the-grace-of-wild-things-heather-fawcett,Middle Grade Readers
9780062334046_5fd8e9a0-53b5-4332-89a2-faf8a1073471.jpg,Amelia Bedelia Chapter Book #7: Amelia Bedelia Sets Sail,"Herman Parish, Lynne Avril",Amelia Bedelia Chapter Book #7,https://harpercollins.com/products/amelia-bedelia-chapter-book-7-amelia-bedelia-sets-sail-herman-parish,Beginning Readers
9780064442435_7e897e29-fb28-48dc-8a94-f496741f5a51.jpg,Biscuit Finds a Friend,"Alyssa Satin Capucilli, Pat Schories",Biscuit,https://harpercollins.com/products/biscuit-finds-a-friend-alyssa-satin-capucilli,Beginning Readers
9780062334008_f5602118-33c9-4839-a9b1-e968b6b5ded2.jpg,Amelia Bedelia Chapter Book #6: Amelia Bedelia Cleans Up,"Herman Parish, Lynne Avril",Amelia Bedelia Chapter Book #6,https://harpercollins.com/products/amelia-bedelia-chapter-book-6-amelia-bedelia-cleans-up-herman-parish,Beginning Readers
9780060580865_e99b9592-86f9-43ac-ae90-f1a01f560146.jpg,The Frog and Toad Collection Box Set,Arnold Lobel,,https://harpercollins.com/products/the-frog-and-toad-collection-box-set-arnold-lobel,Beginning Readers
9780060741693.jpg,Biscuit's Day at the Farm,"Alyssa Satin Capucilli, Pat Schories",Biscuit,https://harpercollins.com/products/biscuits-day-at-the-farm-alyssa-satin-capucilli,Beginning Readers
9780063116597.jpg,Vivi Loves Science: Wind and Water,"Kimberly Derting, Joelle Murray, Shelli R. Johannes",Vivi Loves Science,https://harpercollins.com/products/vivi-loves-science-wind-and-water-kimberly-dertingshelli-r-johannes,Beginning Readers
9780062352156_b1e8f33f-fb57-4ff2-879e-34d3a0302bc1.jpg,Pinkalicious 12-Book Phonics Fun!,Victoria Kann,,https://harpercollins.com/products/pinkalicious-12-book-phonics-fun-victoria-kann-1,Beginning Readers
9780062352156_b1e8f33f-fb57-4ff2-879e-34d3a0302bc1.jpg,Pinkalicious 12-Book Phonics Fun!,Victoria Kann,,https://harpercollins.com/products/pinkalicious-12-book-phonics-fun-victoria-kann-1,Beginning Readers
9780062352156_11fc0192-d8db-4333-b1a9-4cc81ddaeca1.jpg,Pinkalicious 12-Book Phonics Fun!,Victoria Kann,,https://harpercollins.com/products/pinkalicious-12-book-phonics-fun-victoria-kann,Beginning Readers
9780062352156_11fc0192-d8db-4333-b1a9-4cc81ddaeca1.jpg,Pinkalicious 12-Book Phonics Fun!,Victoria Kann,,https://harpercollins.com/products/pinkalicious-12-book-phonics-fun-victoria-kann,Beginning Readers
9780062094964_1df4db1a-64c2-4061-b63a-7ea08a81b13a.jpg,Amelia Bedelia Chapter Book #1: Amelia Bedelia Means Business,"Herman Parish, Lynne Avril",Amelia Bedelia Chapter Book #1,https://harpercollins.com/products/amelia-bedelia-chapter-book-1-amelia-bedelia-means-business-herman-parish,Beginning Readers
